Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Eaglecrest Ski Area,Alaska,2600,1540,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,47,53,90,0,0
Hilltop Ski Area,Alaska,2090,294,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30,2
Sunrise Park Resort,Arizona,11100,1800,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,74,78,104,80,1
Boreal Mountain Resort,California,7700,500,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,64.16681004,150,200,1
Donner Ski Ranch,California,8012,750,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,75,170,0,1
Mt. Shasta Ski Park,California,6890,1435,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,49,59,130,0,1
Mountain High,California,8200,1600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,84,150,73,1
Ski China Peak,California,8709,1679,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,83,144,0,1
Snow Valley,California,7841,1041,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160,69,79,143,164,1
Ski Granby Ranch,Colorado,9202,1000,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,36,220,84,84,92,100,1
Sunlight Mountain Resort,Colorado,9895,2010,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,53,250,65,65,135,0,1
Mount Southington Ski Area,Connecticut,525,425,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,55,80,60,60,95,51,2
Powder Ridge Park,Connecticut,720,550,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,60,80,45,55,100,40,2
Ski Sundown,Connecticut,1075,625,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,62,95,66,2
Woodbury Ski Area,Connecticut,730,300,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,57,70,42,42,180,35,2
Pebble Creek Ski Area,Idaho,8560,2200,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,70,250,47,47,91,30,1
Pomerelle Mountain Resort,Idaho,9000,1000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,56,500,57.91695652,64.16681004,138,100,1
Chestnut Mountain Resort,Illinois,1040,475,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,60,50,40,55,112,139,2
Ski Snowstar Winter Sports Park,Illinois,790,262,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,38,38,25,35,86,28,2
Paoli Peaks,Indiana,900,300,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,41,18,38,45,80,65,2
Perfect North Slopes,Indiana,800,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,52,90,100,2
Seven Oaks,Iowa,975,275,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,40,100,35,2
Camden Snow Bowl,Maine,1080,850,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,33,43,70,48,2
Lost Valley,Maine,495,240,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,58,50,29,55,104,45,2
Mt. Abram Ski Resort,Maine,2250,1150,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,59,125,29,49,120,0,2
Shawnee Peak,Maine,1900,1350,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,81,110,55,75,103,110,2
Wisp,Maryland,3115,700,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,64,100,59,79,120,118,0
Berkshire East,Massachusetts,1720,1180,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,48,68,120,80,2
Otis Ridge Ski Area,Massachusetts,1700,400,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,20,40,106,35,2
Ski Ward,Massachusetts,420,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,50,80,57.91695652,64.16681004,120,38,2
Big Snow Resort - Blackjack,Michigan,850,465,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,49,65,115,0,2
Caberfae Peaks,Michigan,1569,485,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,82,140,39,49,130,150,2
Big Snow Resort - Indianhead Mountain,Michigan,1935,638,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,49,120,0,2
Marquette Mountain,Michigan,1357,600,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,60,210,57.91695652,64.16681004,135,89,2
Mont Ripley,Michigan,1140,440,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,83,275,49,49,100,100,2
Norway Mountain,Michigan,1335,500,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,45,100,57.91695652,45,110,40,2
Pine Mountain,Michigan,1650,500,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,80,60,57.91695652,45,126,80,2
Swiss Valley,Michigan,1200,225,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,51,60,32,42,80,60,2
The Homestead,Michigan,900,320,0,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,34,150,50,50,42,16,2
Treetops Resort,Michigan,1345,225,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,65,175,57.91695652,64.16681004,101,80,2
Andes Tower Hills Ski Area,Minnesota,1620,290,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,38,55,45,45,110,35,2
Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,23,37,56,35,2
Giants Ridge Resort,Minnesota,1972,500,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,35,85,49,58,125,121,2
Hyland Ski & Snowboard Area,Minnesota,1075,175,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35.34,35.34,115,35,2
Spirit Mountain,Minnesota,1320,700,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,59,125,144,2
Snow Creek,Missouri,1100,300,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,33,20,37,47,85,30,2
Lee Canyon,Nevada,11289,860,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,56,161,70,70,150,0,1
Attitash,New Hampshire,2350,1750,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,54,120,79,89,130,0,0
Cranmore Mountain Resort,New Hampshire,2000,1200,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,82,150,57.91695652,64.16681004,128,0,2
Dartmouth Skiway,New Hampshire,1943,969,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,63,100,50,50,105,0,2
King Pine,New Hampshire,850,350,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,57,120,42,58,107,23,2
Mount Sunapee,New Hampshire,2743,1510,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,71,100,83,93,136,0,0
Pats Peak,New Hampshire,1460,770,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,56,100,58,72,112,93,2
Waterville Valley,New Hampshire,4004,2020,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,54,148,79,93,142,0,0
